time;normal;hipox;imm;tum
1058;171;2;15;0
1059;171;2;15;0
1060;171;2;15;0
1061;171;2;15;0
1062;171;2;15;0
1063;171;2;15;0
1064;171;2;15;0
1065;171;2;15;0
1066;171;2;15;0
1067;171;2;15;0
1068;171;2;15;0
1069;171;2;15;0
1070;171;2;15;0
1071;171;2;15;0
1072;171;2;15;0
1073;171;2;15;0
1074;171;2;15;0
1075;171;2;15;0
1076;171;2;15;0
1077;171;2;15;0
1078;171;2;15;0
1079;171;2;15;0
1080;171;2;15;0
1081;171;2;15;0
1082;171;2;15;0
1083;171;2;15;0
1084;171;2;15;0
1085;171;2;15;0
1086;171;2;15;0
1087;171;2;15;0
1088;171;2;15;0
1089;171;2;15;0
1090;171;2;15;0
1091;171;2;15;0
1092;171;2;15;0
1093;171;2;15;0
1094;171;2;15;0
1095;171;2;15;0
1096;171;2;15;0
1097;171;2;15;0
1098;171;2;15;0
1099;171;2;15;0
1100;171;2;15;0
1101;171;2;15;0
1102;171;2;15;0
1103;171;2;15;0
1104;171;2;15;0
1105;171;2;15;0
1106;171;2;15;0
1107;171;2;15;0
1108;171;2;15;0
1109;171;2;15;0
1110;171;2;15;0
1111;171;2;15;0
1112;171;2;15;0
1113;171;2;14;0
1114;171;2;14;0
1115;171;2;14;0
1116;171;2;14;0
1117;171;2;14;0
1118;171;2;14;0
1119;171;2;14;0
1120;171;2;14;0
1121;171;2;14;0
1122;171;2;14;0
1123;171;2;14;0
1124;171;2;14;0
1125;171;2;14;0
1126;171;2;14;0
1127;171;2;14;0
1128;171;2;14;0
1129;171;2;14;0
1130;171;2;14;0
1131;171;2;14;0
1132;171;2;14;0
1133;171;2;14;0
1134;171;2;14;0
1135;171;2;14;0
1136;171;2;14;0
1137;171;2;14;0
1138;171;2;14;0
1139;171;2;14;0
1140;171;2;14;0
1141;171;2;14;0
1142;172;2;14;0
1143;172;2;14;0
1144;172;2;14;0
1145;172;2;14;0
1146;172;2;14;0
1147;172;2;14;0
1148;172;2;14;0
1149;172;2;14;0
1150;172;2;14;0
1151;172;2;14;0
1152;172;2;14;0
1153;172;2;14;0
1154;172;2;14;0
1155;172;2;14;0
1156;172;2;14;0
